Depth;LFP_RHOB_B;LFP_RHOB_G;LFP_RHOB_O;LFP_RHOB_V;LFP_VP_B;LFP_VP_G;LFP_VP_O;LFP_VP_V;LFP_VS_B;LFP_VS_G;LFP_VS_O;LFP_VS_V;Vp_50oil50water;Vs_50oil50water;Rho_50oil50water;Vp_20oil80water;Vs_20oil80water;Rho_20oil80water;Vp_80oil20water;Vs_80oil20water;Rho_80oil20water;Vp_50oil50gas;Vs_50oil50gas;Rho_50oil50gas
1778.8616;2.1164;1.8463;2.0762;2.0809;3133.9253;2999.3007;3049.3762;3055.1188;1633.4842;1748.8524;1649.2211;1647.379;3079.1232;1641.5661;2.0957;3111.6035;1636.486;2.1088;3056.9167;1646.6939;2.0827;2920.2948;1702.6918;1.948
1779.014;2.1197;1.8509;2.0797;2.0844;3142.4197;3009.3523;3058.2641;3064.0897;1641.7219;1756.7331;1657.4212;1655.5275;3089.2035;1649.8524;2.0988;3121.4576;1644.7822;2.1118;3067.1624;1654.9699;2.0859;2931.7429;1710.8229;1.952
1779.1664;2.1235;1.8605;2.0845;2.0894;3127.6332;2974.2046;3040.0468;3046.742;1651.7625;1764.8415;1667.2274;1665.2632;3071.5642;1659.6352;2.1031;3105.2942;1654.6383;2.1158;3048.2842;1664.6776;2.0904;2900.9743;1719.5199;1.959
1779.3188;2.1235;1.8676;2.0853;2.0903;3126.2372;2966.6967;3039.21;3046.2376;1664.6057;1774.9215;1679.732;1677.696;3068.5448;1672.8718;2.1023;3101.9645;1667.9812;2.1146;3045.3826;1677.8056;2.0899;2900.2763;1730.9013;1.9638
1779.4712;2.1225;1.8693;2.085;2.0901;3140.7504;2988.013;3057.5811;3064.6161;1668.9823;1778.419;1684.0211;1681.9404;3084.8476;1677.3591;2.1015;3116.9212;1672.4958;2.1137;3062.7078;1682.265;2.0892;2925.9931;1734.8825;1.9644
1779.6236;2.1206;1.8649;2.0825;2.0878;3166.9316;3035.1475;3087.8704;3094.3735;1669.5527;1780.4704;1684.6954;1682.5944;3113.6497;1677.9874;2.0994;3143.9431;1673.0887;2.1117;3092.9531;1682.9293;2.0871;2969.7766;1736.0574;1.9614
1779.776;2.1201;1.8582;2.0811;2.0864;3171.5545;3045.3138;3092.0075;3098.4109;1668.2366;1782.131;1683.8699;1681.7308;3120.0834;1676.5985;2.099;3150.7;1671.5653;2.1117;3099.2409;1681.6778;2.0864;2973.9766;1736.6326;1.9564
1779.9284;2.122;1.8587;2.0828;2.0882;3153.828;3015.8038;3070.0695;3076.9213;1665.3928;1779.4867;1680.9989;1678.8367;3099.4476;1673.6616;2.1013;3131.638;1668.6224;2.114;3077.3855;1678.7467;2.0886;2941.5793;1733.9744;1.9577
1780.0808;2.1219;1.8566;2.0824;2.0878;3137.8882;2991.5462;3051.0501;3058.2472;1659.8727;1774.6476;1675.5521;1673.3637;3081.9583;1667.9557;2.1012;3115.2152;1662.8928;2.114;3059.0833;1673.0653;2.0884;2916.4859;1728.6887;1.9561
1780.2332;2.1222;1.8591;2.0831;2.0886;3118.3993;2959.6255;3029.4051;3037.0848;1653.4928;1766.3506;1668.9334;1666.7223;3060.8707;1661.7607;2.1015;3094.9353;1656.7708;2.1142;3037.3042;1666.7959;2.0888;2888.7647;1721.418;1.9584
1780.3856;2.1158;1.8538;2.0768;2.0823;3096.129;2931.6197;3006.5085;3014.3749;1640.0142;1752.1976;1655.3576;1653.1418;3037.3672;1648.3171;2.0947;3071.828;1643.3618;2.1073;3013.457;1653.3176;2.082;2861.7468;1707.3859;1.9522
1780.538;2.1054;1.8379;2.0655;2.0712;3068.7739;2900.5485;2977.4752;2985.4381;1624.7597;1739.0123;1640.3519;1638.1158;3009.8854;1633.0841;2.0838;3044.9271;1628.0482;2.0967;2985.5696;1638.1671;2.0709;2831.2544;1693.1939;1.9384
1780.6904;2.0937;1.8174;2.0526;2.0584;3014.6284;2825.9827;2915.6194;2924.2097;1606.3278;1724.1312;1622.347;1620.0722;2951.1098;1615.1291;2.0717;2988.8433;1609.9578;2.0851;2924.7576;1620.3506;2.0584;2754.1365;1677.1541;1.9213
1780.8428;2.0848;1.7992;2.0423;2.0482;2981.3279;2786.1517;2877.9711;2886.8684;1585.5519;1706.7431;1601.9741;1599.6528;2915.5272;1594.0904;2.0626;2954.6736;1588.797;2.0764;2888.1713;1599.4372;2.0489;2709.8884;1657.9831;1.9067
1780.9952;2.0767;1.7911;2.0342;2.0402;2972.1278;2779.5669;2870.9172;2879.8839;1578.2829;1699.6135;1594.7123;1592.3412;2907.564;1586.8611;2.0545;2946.4213;1581.5523;2.0683;2880.4065;1592.2239;2.0406;2702.2548;1650.8932;1.8982
1781.1476;2.0726;1.7906;2.0306;2.0367;2972.6892;2783.2623;2874.2145;2883.1485;1575.8085;1694.6127;1591.9145;1589.5244;2907.3152;1584.7278;2.0493;2945.1047;1579.5038;2.0629;2880.9636;1590.0039;2.0357;2712.1965;1647.1129;1.897
1781.3;2.0751;1.8026;2.0346;2.0407;2998.1618;2821.7892;2906.54;2915.1946;1576.4181;1692.159;1592.15;1589.7617;2936.8184;1585.0547;2.0519;2972.6248;1579.9931;2.065;2911.8974;1590.165;2.0387;2752.5984;1645.2193;1.9045
1781.4524;2.0866;1.816;2.0464;2.0526;3037.1026;2875.8119;2948.9189;2957.3843;1585.4396;1699.2757;1600.9607;1598.5264;2977.8022;1594.1413;2.0639;3011.6392;1589.1265;2.0769;2954.4212;1599.2038;2.0509;2810.404;1653.7019;1.9179
1781.6048;2.0957;1.8217;2.0549;2.0614;3056.3631;2900.3104;2967.0563;2975.7194;1590.8072;1706.2073;1606.5172;1604.0064;2998.1476;1599.202;2.0736;3032.3826;1594.1294;2.0869;2974.5428;1604.3234;2.0604;2827.5647;1659.9398;1.9247
1781.7572;2.1007;1.8265;2.0598;2.0664;3061.6826;2904.562;2971.3061;2980.2524;1593.8373;1709.2765;1609.5537;1606.9847;3003.2136;1602.1403;2.0791;3037.8006;1597.066;2.0923;2979.3489;1607.2632;2.0659;2829.9057;1663.0469;1.9296
